,date,league,country,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_home_corners,full_time_away_corners,half_time_home_corners,half_time_away_corners,match_id
0,2025-04-01 01:10:00,Argentina Nacional B,Argentina,CA Atlanta,Quilmes,2,0,1,5,0,0,171878251
1,2025-03-31 00:30:00,Argentina Nacional B,Argentina,Club Atletico Mitre,Gimnasia Mendoza,1,1,4,8,2,4,171878249
2,2025-03-30 22:00:00,Argentina Nacional B,Argentina,Colon,Gimnasia Jujuy,0,1,8,4,3,1,171878247
3,2025-03-30 21:00:00,Argentina Nacional B,Argentina,Deportivo Maipu,San Martin de Tucuman,0,1,4,2,0,1,171878238
4,2025-03-30 21:00:00,Argentina Nacional B,Argentina,Gimnasia y Tiro,Tristan Suarez,1,1,3,7,3,3,171878245
5,2025-03-30 20:00:00,Argentina Nacional B,Argentina,CA Colegiales,CA San Miguel,0,0,1,5,0,3,171878215
6,2025-03-30 20:00:00,Argentina Nacional B,Argentina,CA Alvarado,Patronato Parana,3,1,0,8,0,1,171878226
7,2025-03-30 20:00:00,Argentina Nacional B,Argentina,Deportivo Madryn,CA Guemes,1,0,4,5,1,2,171878228
8,2025-03-30 20:00:00,Argentina Nacional B,Argentina,Defensores Unidos,CA San Telmo,2,2,2,4,2,2,171878230
9,2025-03-30 20:00:00,Argentina Nacional B,Argentina,Talleres Remedios,Estudiantes Rio Cuarto,0,2,5,0,3,0,171878234
10,2025-03-30 19:30:00,Argentina Nacional B,Argentina,Arsenal de Sarandi,Almagro,2,2,1,4,0,1,171878218
11,2025-03-30 19:30:00,Argentina Nacional B,Argentina,CD Moron,Defensores de Belgrano,1,0,3,5,2,2,171878232
12,2025-03-30 21:00:00,Argentina Primera B Metropolitana,Argentina,Excursionistas,Real Pilar,0,0,3,6,2,2,172028138
13,2025-03-30 21:00:00,Argentina Primera B Metropolitana,Argentina,Ferrocarril Midland,UAI Urquiza,3,0,1,6,0,3,172028144
14,2025-03-30 19:40:00,Argentina Primera B Metropolitana,Argentina,CA Brown de Adrogue,CS Dock Sud,1,1,5,0,4,0,172028134
15,2025-03-31 19:30:00,Argentina Primera C Metropolitana,Argentina,Deportivo Paraguayo,Juventud Unida San Miguel,1,0,9,1,2,1,172048039
16,2025-03-31 19:30:00,Argentina Primera C Metropolitana,Argentina,Deportivo Muniz,Club Mercedes,0,0,7,3,1,2,172232645
17,2025-03-30 19:30:00,Argentina Primera C Metropolitana,Argentina,JJ Urquiza,Club Leandro N. Alem,1,0,2,13,2,7,172070694
18,2025-03-30 19:30:00,Argentina Primera C Metropolitana,Argentina,Lujan,Sportivo Barracas,3,0,5,2,4,0,172070765
19,2025-03-30 19:30:00,Argentina Primera C Metropolitana,Argentina,Canuelas FC,Victoriano Arenas,1,1,5,2,2,2,172070891
20,2025-04-01 19:00:00,Argentina Reserve League,Argentina,Argentinos Jrs Reserves,Independiente Rivadavia Reserves,2,0,11,4,4,3,172242847
21,2025-04-01 19:00:00,Argentina Reserve League,Argentina,Belgrano Reserves,Defensa y Justicia Reserves,1,0,7,3,4,2,172242857
22,2025-04-01 19:00:00,Argentina Reserve League,Argentina,Estudiantes LP Reserves,Central Cordoba SdE Reserves,3,0,12,2,4,1,172242864
23,2025-04-01 19:00:00,Argentina Reserve League,Argentina,Lanus Reserves,Velez Sarsfield Reserves,1,4,3,4,0,2,172242868
24,2025-04-01 19:00:00,Argentina Reserve League,Argentina,Rosario Central Reserves,Sarmiento Reserves,2,0,4,2,2,0,172242872
25,2025-04-01 15:00:00,Argentina Reserve League,Argentina,Club Comunicaciones Reserves,Deportivo Merlo Reserves,0,1,1,3,0,2,172315747
26,2025-04-01 23:00:00,Argentina Cup,Argentina,Banfield,Club Villa Mitre,1,0,1,3,1,1,172242020
27,2025-03-30 22:30:00,Argentina Torneo A,Argentina,CA Costa Brava,CDA Monte Maiz,3,0,2,4,1,2,172051200
28,2025-03-30 22:00:00,Argentina Torneo A,Argentina,Sportivo Belgrano,Sportivo Las Parejas,3,0,2,5,1,0,172068786
29,2025-03-30 21:30:00,Argentina Torneo A,Argentina,Club Atlético El Linqueño,CA Douglas Haig,2,3,3,5,0,2,172068767
30,2025-03-30 21:00:00,Argentina Torneo A,Argentina,CA 9 de Julio Rafaela,Gimnasia C. Uruguay,2,0,7,4,2,2,172051204
31,2025-03-30 21:00:00,Argentina Torneo A,Argentina,Sarmiento de Resistencia,CA Sarmiento de la Banda,1,3,2,4,1,2,172068783
32,2025-03-30 20:00:00,Argentina Torneo A,Argentina,Germinal de Rawson,Club Circulo Deportivo,2,5,5,0,3,0,172068763
33,2025-03-30 20:00:00,Argentina Torneo A,Argentina,Gimnasia Y Esgrima De Chivilcoy,Ben Hur Rafaela,2,1,0,7,0,2,172068770
34,2025-03-30 20:00:00,Argentina Torneo A,Argentina,San Martin Formosa,CA Bartolome Mitre,1,0,8,2,2,1,172089494
35,2025-03-30 20:00:00,Argentina Torneo A,Argentina,Sportivo Estudiantes,Club Ciudad de Bolivar,0,0,0,12,0,7,172165200
36,2025-03-30 19:30:00,Argentina Torneo A,Argentina,Defensores de Belgrano VR,Independiente Chivilcoy,0,0,1,2,0,2,172068793
37,2025-03-30 17:00:00,Argentina Torneo A,Argentina,Sportivo Atenas,Huracan Las Heras,1,2,6,0,0,0,172051202
38,2025-03-30 15:00:00,Argentina Torneo A,Argentina,Santamarina Tandil,Kimberley Mar del Plata,0,1,3,2,1,2,172068758
39,2025-03-30 19:30:00,Argentina Championship Women,Argentina,Huracan Women,CA Independiente Women,3,1,5,1,3,1,172028092
40,2025-03-30 16:00:00,Argentina Championship Women,Argentina,Gimnasia LP Women,Platense Women,2,0,5,1,2,1,172028098
41,2025-03-30 15:00:00,Argentina Championship Women,Argentina,Newell's Women,River Plate Women,1,0,7,3,5,2,172028100
42,2025-03-30 14:00:00,Argentina Championship Women,Argentina,Boca Juniors Women,Velez Sarsfield Women,1,0,5,2,4,0,172028089
43,2025-03-31 20:30:00,Argentina Regional League,Argentina,Sarmiento de Resistencia Reserves,C.U.N.E.,2,0,7,9,4,2,172242717
44,2025-03-30 23:30:00,Argentina Liga Profesional,Argentina,Newell's,Boca Juniors,2,0,3,7,1,1,171138624
45,2025-03-30 20:00:00,Argentina Liga Profesional,Argentina,Gimnasia LP,Sarmiento,0,0,8,2,1,0,171138655
46,2025-03-30 19:00:00,Argentina Liga Profesional,Argentina,Belgrano,CA Talleres,1,1,5,1,1,1,171138684
47,2025-03-30 00:00:00,Argentina Liga Profesional,Argentina,River Plate,Rosario Central,2,2,4,4,2,3,171138662
48,2025-04-01 00:00:00,Brazil Serie A,Brazil,Bragantino,Ceara,2,2,9,2,4,2,169808109
49,2025-03-31 00:00:00,Brazil Serie A,Brazil,EC Bahia,Corinthians,1,1,3,5,2,2,169808121
50,2025-03-30 22:30:00,Brazil Serie A,Brazil,Vasco Da Gama RJ,Santos,2,1,2,3,1,0,169808097
51,2025-03-30 20:00:00,Brazil Serie A,Brazil,Palmeiras,Botafogo RJ,0,0,2,2,0,1,169808101
52,2025-03-30 00:00:00,Brazil Serie A,Brazil,Flamengo,Internacional,1,1,4,2,2,1,169808089
53,2025-04-01 22:00:00,Brazil U20 League,Brazil,Botafogo U20,Corinthians U20,2,2,6,0,5,0,172242022
54,2025-03-30 19:30:00,Brazil U20 League,Brazil,Araucaria ECR U20,Patriotas U20,1,1,5,4,1,2,172165312
55,2025-04-01 13:58:00,Brazil U20 Cup,Brazil,Paulinia FC U20,Uniao Sao Joao U20,0,1,5,1,3,0,172312914
56,2025-03-31 14:00:00,Brazil U20 Cup,Brazil,Flamengo U20,Madureira U20,4,2,2,8,2,2,172232653
57,2025-03-31 14:00:00,Brazil U20 Cup,Brazil,Vasco Da Gama U20,Bangu U20,5,0,9,3,2,1,172232655
58,2025-04-01 00:00:00,Brazil Campeonato Cearense B,Brazil,Crato,Quixada FC,3,1,3,5,2,3,172232651
59,2025-03-30 22:00:00,Brazil Campeonato Cearense B,Brazil,Maranguape,Itapipoca EC,1,2,7,7,6,4,172165206
60,2025-04-01 23:30:00,Brazil Campeonato Capixaba,Brazil,Porto Vitoria,Rio Branco AC,1,0,6,5,5,4,172242781
61,2025-03-30 21:00:00,Brazil Campeonato Goiano,Brazil,Vila Nova,Anapolis,3,0,6,1,3,1,171524598
62,2025-03-30 20:00:00,Brazil Campeonato Maranhense,Brazil,Sampaio Correa,IAPE,3,1,9,3,5,1,172028052
63,2025-03-30 20:00:00,Brazil Campeonato Paraibano,Brazil,Botafogo PB,Sousa,1,1,5,2,5,2,172070620
64,2025-03-30 21:00:00,Brazil Paraense,Brazil,Clube Do Remo,Santa Rosa PA,2,0,7,9,5,4,172070609
65,2025-03-30 14:00:00,Brazil Paraense,Brazil,Castanhal,Tuna Luso,3,3,12,1,6,1,172070606
